Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,Minutes_90s,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,Goals_minus_xG,npGoals_minus_xG,Cmp,Att,Cmp%,TotDist,PrgDist,xA,Ast_minus_xAG,KP,Passes_Final3rd,PPA,CrsPA,TB,Sw,Crs,TI,CK,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,GCA,GCA90,Tkl,TklW,Tkl_Def3rd,Tkl_Mid3rd,Tkl_Att3rd,Tkl%,Int,Tkl+Int,Clr,Err,Touches,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Subs,Mn/Sub,PPM,PlusMinus,PlusMinus_90,xG_PlusMinus,xG_PlusMinus_90,TwoCrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,GK_PassAtt,Thr,Launch%,AvgLen,Opp,Stp,Stp%,GK_OPA,GK_OPA_90,AvgDist,Gls_p90,Ast_p90,xG_p90,npxG_p90,xAG_p90,xA_p90,PrgC_p90,PrgP_p90,PrgR_p90,Sh_p90,SoT_p90,FK_p90,KP_p90,1/3_p90,PPA_p90,CrsPA_p90,Crs_p90,TI_p90,CK_p90,Off_p90,Blocks_p90,SCA_p90,GCA_p90,PassLive_p90,PassDead_p90,TO_p90,Fld_p90,Tkl_p90,TklW_p90,Tkl+Int_p90,Int_p90,Clr_p90,Err_p90,Touches_p90,Carries_p90,CPA_p90,Mis_p90,Dis_p90,Rec_p90,Recov_p90,Fls_p90,Won_p90,G-xG_p90,np:G-xG_p90,A-xAG_p90,Cmp_p90,Att_p90,TotDist_p90,PrgDist_p90,Succ_p90,Tkld_p90,CrdY_p90,PKwon_p90,PKcon_p90,Subs_p90,Pos_Primary,score_FW,score_DF,score_MF,score_GK,radar_FW_Remate,radar_FW_Gol,radar_FW_Precision,radar_FW_Creacion,radar_FW_Movimiento,radar_FW_Conduccion,radar_DF_Defensa,radar_DF_Pase,radar_DF_Despeje,radar_DF_Aereo,radar_DF_Progresion,radar_DF_Errores,radar_MF_Creacion,radar_MF_Progresion,radar_MF_Defensa,radar_MF_Asistencia,radar_MF_Conduccion,radar_MF_Pase,radar_GK_Calidad,radar_GK_Paradas,radar_GK_GolesEnc,radar_GK_PorteriaACero,radar_GK_Pase
Aaron Ciammaglichella,it ITA,MF,Torino,it Serie A,19.0,1,0,1,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,,0.0,0.0,,,,0,,0.0,0.0,0,0,,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,,0,,0,0,0,0,0,1.0,0.0,,1,1.0,3.0,0,0.0,0.1,9.23,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,34.0,18,10,824,9.2,0,0,0,0,3,0,0.2,0.2,1.3,6,36,4,5,0,0.0,0.55,0.0,0.0,,23.8,2,0.05,-0.2,-0.2,504,610,82.6,9299,3625,1.9,-1.3,9,52,5,2,1,5,36,52,13,1,10,15,1.64,7,8,0,0,0,0.0,11,7,5,5,1,81.8,8,19,37,0,687,1,50.0,1,50.0,291,0,4,0,437,46.0,24.1,76.0,8,8.0,1.78,0,0.0,-3.0,-0.32,0,4,0,0,0,36,7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.022,0.022,0.142,0.208,0.655,3.932,0.437,0.546,0.0,0.218,0.983,5.68,0.546,0.218,3.932,5.68,1.42,0.109,1.092,1.638,0.0,0.765,0.874,0.0,0.0,1.201,0.765,2.075,0.874,4.041,0.0,75.036,31.784,0.0,0.437,0.0,47.731,3.932,0.437,0.765,-0.022,-0.022,-0.142,55.049,66.626,1015.667,395.934,0.109,0.109,0.328,0.0,0.0,0.874,DF,,0.3976,,,,,,,,,0.2122,0.6728,0.4207,0.5556,0.3527,0.0,,,,,,,,,,,
Aaron Malouda,fr FRA,FW,Lille,fr Ligue 1,18.0,1,0,2,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,,0.0,0.0,,,,0,,0.0,0.0,0,0,,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,,0,,1,0,0,1,1,2.0,0.1,,1,2.0,0.0,0,0.0,0.1,2.89,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,FW,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Ramsdale,eng ENG,GK,Southampton,eng Premier League,26.0,30,30,2700,30.0,0,0,0,0,2,0,0.0,0.0,0.0,0,0,0,0,0,,0.0,0.0,,,,0,,0.0,0.0,774,1223,63.3,21949,16992,0.1,0.0,0,36,1,0,0,4,0,0,0,7,1,3,0.1,2,1,0,0,0,0.0,0,0,0,0,0,0.0,2,2,10,3,1314,0,,0,,786,0,3,0,702,90.0,78.9,90.0,0,,0.37,-45,-1.5,-39.8,-1.33,0,1,0,0,0,23,6,100.0,66.0,2.2,188.0,120.0,67.6,2.0,5.0,23.0,3.0,10.0,5.0,2.0,0.0,63.5,0.32,-2.5,1026.0,129.0,44.6,36.0,457.0,25.0,5.5,20.0,0.67,11.7,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.033,0.0,0.0,0.0,0.0,0.233,0.033,0.1,0.0,0.067,0.033,0.0,0.0,0.0,0.0,0.067,0.067,0.333,0.1,43.8,26.2,0.0,0.1,0.0,23.4,0.767,0.033,0.2,0.0,0.0,0.0,25.8,40.767,731.633,566.4,0.0,0.0,0.067,0.0,0.0,0.0,GK,,,,0.2073,,,,,,,,,,,,,,,,,,,0.3619,0.6089,0.5861,0.1667,0.3867
Aaron Wan-Bissaka,eng ENG,DF,West Ham,eng Premier League,26.0,36,35,3154,35.0,2,5,0,0,1,0,1.2,1.2,3.5,110,149,167,16,5,31.3,0.46,0.14,0.13,0.4,15.1,0,0.07,0.8,0.8,1472,1815,81.1,20696,7523,2.8,1.5,33,94,35,11,5,1,76,232,0,4,62,93,2.65,75,4,7,2,10,0.29,70,49,33,32,5,71.9,66,136,125,0,2256,64,52.5,43,35.2,1092,15,35,22,1322,88.0,92.2,89.0,1,29.0,1.17,-15,-0.43,-13.9,-0.4,0,25,0,0,1,174,22,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.057,0.143,0.034,0.034,0.1,0.08,3.139,4.252,4.765,0.457,0.143,0.0,0.942,2.682,0.999,0.314,2.169,6.62,0.0,0.114,1.769,2.654,0.285,2.14,0.114,0.2,0.057,1.997,1.398,3.881,1.883,3.567,0.0,64.375,31.16,0.428,0.999,0.628,37.724,4.965,0.713,0.628,0.023,0.023,0.043,42.004,51.791,590.564,214.67,1.826,1.227,0.029,0.0,0.0,0.029,DF,,0.4635,,,,,,,,,0.5232,0.6332,0.3646,0.4444,0.3906,0.0,,,,,,,,,,,
Aarón Martín,es ESP,DF,Genoa,it Serie A,27.0,36,35,3085,34.3,0,8,0,0,5,0,0.9,0.9,5.5,50,90,108,16,4,25.0,0.47,0.12,0.0,0.0,23.6,5,0.06,-0.9,-0.9,1221,1685,72.5,23065,8738,6.1,2.5,65,77,30,21,0,3,256,255,106,5,30,95,2.77,42,48,2,2,13,0.38,71,47,41,26,4,64.7,19,90,73,1,1951,12,44.4,12,44.4,878,4,22,17,1039,86.0,90.2,87.0,1,32.0,1.19,-11,-0.32,-7.4,-0.22,0,38,0,1,0,146,20,37.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.233,0.026,0.026,0.16,0.178,1.459,2.626,3.151,0.467,0.117,0.146,1.896,2.246,0.875,0.613,7.468,7.439,3.092,0.146,0.875,2.771,0.379,1.225,1.4,0.058,0.058,2.071,1.371,2.626,0.554,2.13,0.029,56.917,25.614,0.117,0.642,0.496,30.311,4.259,1.109,0.583,-0.026,-0.026,0.073,35.621,49.157,672.885,254.917,0.35,0.35,0.146,0.0,0.029,0.029,DF,,0.2927,,,,,,,,,0.307,0.4063,0.1945,0.4189,0.198,0.0483,,,,,,,,,,,
Abakar Sylla,ci CIV,DF,Strasbourg,fr Ligue 1,21.0,21,10,950,10.6,1,0,0,0,2,1,0.4,0.4,0.1,0,21,3,5,1,20.0,0.47,0.09,0.2,1.0,9.0,0,0.08,0.6,0.6,583,658,88.6,9980,3603,0.1,-0.1,1,21,1,0,0,1,1,12,0,0,7,4,0.38,3,0,0,0,1,0.09,27,15,14,11,2,88.2,11,38,63,0,791,3,50.0,3,50.0,425,0,5,4,497,45.0,31.0,78.0,11,15.0,1.71,-6,-0.57,-4.7,-0.45,0,17,0,0,1,39,20,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.095,0.0,0.038,0.038,0.009,0.009,0.0,1.989,0.284,0.474,0.095,0.0,0.095,1.989,0.095,0.0,0.095,1.137,0.0,0.0,0.663,0.379,0.095,0.284,0.0,0.0,0.0,2.558,1.421,3.6,1.042,5.968,0.0,74.937,40.263,0.0,0.474,0.379,47.084,3.695,1.611,1.895,0.057,0.057,-0.009,55.232,62.337,945.474,341.337,0.284,0.284,0.189,0.0,0.0,1.042,DF,,0.5195,,,,,,,,,0.4748,0.8311,0.6488,0.6344,0.1226,0.0,,,,,,,,,,,
Abdallah Sima,sn SEN,"FW,MF",Brest,fr Ligue 1,23.0,27,14,1238,13.8,7,2,0,0,2,0,5.9,5.9,1.0,36,24,92,37,18,48.6,2.69,1.31,0.19,0.39,13.1,0,0.16,1.1,1.1,231,332,69.6,3140,660,0.9,1.0,13,13,6,1,0,1,16,3,0,0,15,28,2.04,20,0,1,3,3,0.22,15,11,2,5,8,36.4,1,16,9,0,510,6,26.1,13,56.5,299,20,53,22,378,46.0,40.5,66.0,13,24.0,1.44,-8,-0.58,-4.3,-0.31,0,16,0,0,0,61,41,48.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.509,0.145,0.429,0.429,0.073,0.065,2.617,1.745,6.688,2.69,1.309,0.0,0.945,0.945,0.436,0.073,1.163,0.218,0.0,0.0,1.09,2.036,0.218,1.454,0.0,0.073,0.218,1.09,0.8,1.163,0.073,0.654,0.0,37.076,21.737,1.454,3.853,1.599,27.48,4.435,1.163,2.981,0.08,0.08,0.073,16.793,24.136,228.271,47.981,0.436,0.945,0.145,0.0,0.0,0.945,FW,0.3395,,,,0.362,0.443,0.5135,0.1139,0.308,0.207,,,,,,,,,,,,,,,,,
Abde Ezzalzouli,ma MAR,"FW,MF",Betis,es La Liga,22.0,32,23,1984,22.0,2,2,0,1,2,0,8.0,7.2,2.0,117,68,215,61,25,41.0,2.77,1.13,0.03,0.08,15.6,1,0.12,-6.0,-5.2,542,757,71.6,6695,1928,2.1,0.0,27,42,19,2,2,4,49,15,1,2,27,66,2.99,43,0,10,4,7,0.32,37,25,17,16,4,55.6,7,44,19,0,1081,46,44.7,37,35.9,706,58,64,50,797,62.0,58.0,75.0,9,28.0,1.47,0,0.0,1.9,0.08,0,23,2,0,0,102,26,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.091,0.091,0.363,0.327,0.091,0.095,5.307,3.085,9.753,2.767,1.134,0.045,1.225,1.905,0.862,0.091,2.223,0.68,0.045,0.091,1.225,2.994,0.318,1.951,0.0,0.454,0.181,1.678,1.134,1.996,0.318,0.862,0.0,49.037,32.026,2.631,2.903,2.268,36.154,4.627,1.043,1.179,-0.272,-0.236,0.0,24.587,34.34,303.705,87.46,2.087,1.678,0.091,0.091,0.0,0.408,FW,0.2725,,,,0.3035,0.0792,0.4449,0.1729,0.5141,0.4197,,,,,,,,,,,,,,,,,
Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25.0,29,29,2463,27.4,0,1,0,0,13,0,0.9,0.9,0.3,16,79,4,12,1,8.3,0.44,0.04,0.0,0.0,8.0,0,0.08,-0.9,-0.9,719,939,76.6,16039,5771,0.4,0.7,8,67,10,2,1,17,5,7,0,3,6,25,0.91,20,0,0,1,3,0.11,36,23,24,11,1,58.8,39,75,146,1,1251,3,75.0,1,25.0,632,0,18,3,650,85.0,72.0,85.0,0,,1.03,-11,-0.4,-1.4,-0.05,0,47,1,2,0,87,40,53.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.037,0.033,0.033,0.011,0.015,0.585,2.887,0.146,0.438,0.037,0.0,0.292,2.448,0.365,0.073,0.183,0.256,0.0,0.11,0.219,0.914,0.11,0.731,0.0,0.0,0.037,1.315,0.84,2.741,1.425,5.335,0.037,45.713,23.094,0.0,0.658,0.11,23.752,3.179,1.717,1.462,-0.033,-0.033,0.026,26.273,34.312,586.078,210.877,0.11,0.037,0.475,0.037,0.073,0.0,DF,,0.4071,,,,,,,,,0.3268,0.5145,0.5739,0.5922,0.2289,0.0617,,,,,,,,,,,
