Pos_Primary,Rank,Player,Nation,Squad,Comp,Age,Score,foto_url,valor_mercado,valor_mercado_fmt
FW,1,Ousmane Dembélé,fr FRA,Paris S-G,fr Ligue 1,27,0.7896,https://img.a.transfermarkt.technology/portrait/header/288230-1684148641.jpg?lm=1,100000000.0,€100M
FW,2,Gonçalo Ramos,pt POR,Paris S-G,fr Ligue 1,23,0.6427,https://img.a.transfermarkt.technology/portrait/header/550550-1681906158.jpg?lm=1,35000000.0,€35M
FW,3,Kylian Mbappé,fr FRA,Real Madrid,es La Liga,25,0.6357,https://img.a.transfermarkt.technology/portrait/header/342229-1682683695.jpg?lm=1,200000000.0,€200M
FW,4,Mohamed Salah,eg EGY,Liverpool,eng Premier League,32,0.6004,https://img.a.transfermarkt.technology/portrait/header/148455-1727337594.jpg?lm=1,30000000.0,€30M
FW,5,Alexander Sørloth,no NOR,Atlético Madrid,es La Liga,28,0.5989,https://img.a.transfermarkt.technology/portrait/header/238407-1716403969.jpg?lm=1,20000000.0,€20M
FW,6,Michael Olise,fr FRA,Bayern Munich,de Bundesliga,22,0.5833,https://img.a.transfermarkt.technology/portrait/header/566723-1762944477.jpg?lm=1,150000000.0,€150M
FW,7,Harry Kane,eng ENG,Bayern Munich,de Bundesliga,31,0.5824,https://img.a.transfermarkt.technology/portrait/header/132098-1700211169.jpg?lm=1,60000000.0,€60M
FW,8,Ferrán Torres,es ESP,Barcelona,es La Liga,24,0.5785,https://img.a.transfermarkt.technology/portrait/header/398184-1779789996.jpg?lm=1,50000000.0,€50M
FW,9,Mika Biereth,dk DEN,Monaco,fr Ligue 1,21,0.5765,https://img.a.transfermarkt.technology/portrait/header/565821-1736777758.jpg?lm=1,18000000.0,€18M
FW,10,Bradley Barcola,fr FRA,Paris S-G,fr Ligue 1,21,0.5639,https://img.a.transfermarkt.technology/portrait/header/708265-1780063967.jpg?lm=1,70000000.0,€70M
FW,11,Leroy Sané,de GER,Bayern Munich,de Bundesliga,28,0.5636,https://img.a.transfermarkt.technology/portrait/header/192565-1694587968.jpg?lm=1,20000000.0,€20M
FW,12,Georges Mikautadze,ge GEO,Lyon,fr Ligue 1,23,0.5202,https://img.a.transfermarkt.technology/portrait/header/729814-1719222514.jpg?lm=1,28000000.0,€28M
FW,13,Raphinha,br BRA,Barcelona,es La Liga,27,0.518,https://img.a.transfermarkt.technology/portrait/header/411295-1729754479.png?lm=1,80000000.0,€80M
FW,14,Mateo Retegui,it ITA,Atalanta,it Serie A,25,0.5033,https://img.a.transfermarkt.technology/portrait/header/554903-1681311414.jpg?lm=1,35000000.0,€35M
FW,15,Serge Gnabry,de GER,Bayern Munich,de Bundesliga,29,0.5001,https://img.a.transfermarkt.technology/portrait/header/159471-1759909173.jpg?lm=1,18000000.0,€18M
FW,16,Omar Marmoush,eg EGY,Eint Frankfurt (+1),de Bundesliga,25,0.4993,https://img.a.transfermarkt.technology/portrait/header/445939-1747656490.jpg?lm=1,60000000.0,€60M
FW,17,Hugo Ekitike,fr FRA,Eint Frankfurt,de Bundesliga,22,0.4982,https://img.a.transfermarkt.technology/portrait/header/709726-1758714741.jpg?lm=1,90000000.0,€90M
FW,18,Bukayo Saka,eng ENG,Arsenal,eng Premier League,22,0.4981,https://img.a.transfermarkt.technology/portrait/header/433177-1684155052.jpg?lm=1,120000000.0,€120M
FW,19,Robert Lewandowski,pl POL,Barcelona,es La Liga,35,0.4975,https://img.a.transfermarkt.technology/portrait/header/38253-1760445524.jpg?lm=1,8000000.0,€8M
FW,20,Jáder Durán,co COL,Aston Villa,eng Premier League,20,0.4867,,,
MF,1,Luka Modrić,hr CRO,Real Madrid,es La Liga,38,0.6803,https://img.a.transfermarkt.technology/portrait/header/27992-1687776160.jpg?lm=1,3500000.0,€3.5M
MF,2,Joshua Kimmich,de GER,Bayern Munich,de Bundesliga,29,0.6335,https://img.a.transfermarkt.technology/portrait/header/161056-1700039639.jpg?lm=1,35000000.0,€35M
MF,3,Pedri,es ESP,Barcelona,es La Liga,21,0.6193,https://img.a.transfermarkt.technology/portrait/header/683840-1744278342.jpg?lm=1,150000000.0,€150M
MF,4,Dani Ceballos,es ESP,Real Madrid,es La Liga,27,0.6023,https://img.a.transfermarkt.technology/portrait/header/319745-1723666162.jpg?lm=1,8000000.0,€8M
MF,5,Bruno Fernandes,pt POR,Manchester Utd,eng Premier League,29,0.5787,https://img.a.transfermarkt.technology/portrait/header/240306-1683882766.jpg?lm=1,40000000.0,€40M
MF,6,Isco,es ESP,Betis,es La Liga,32,0.576,https://img.a.transfermarkt.technology/portrait/header/85288-1744375744.jpg?lm=1,4000000.0,€4M
MF,7,Arda Güler,tr TUR,Real Madrid,es La Liga,19,0.5707,https://img.a.transfermarkt.technology/portrait/header/861410-1699472585.jpg?lm=1,90000000.0,€90M
MF,8,Alex Baena,es ESP,Villarreal,es La Liga,23,0.5657,https://img.a.transfermarkt.technology/portrait/header/548111-1761821030.jpg?lm=1,45000000.0,€45M
MF,9,Hakan Çalhanoğlu,tr TUR,Inter,it Serie A,30,0.5617,https://img.a.transfermarkt.technology/portrait/header/126414-1709035146.jpg?lm=1,16000000.0,€16M
MF,10,Kevin De Bruyne,be BEL,Manchester City,eng Premier League,33,0.5567,https://img.a.transfermarkt.technology/portrait/header/88755-1713391485.jpg?lm=1,8000000.0,€8M
MF,11,Aleksandr Golovin,ru RUS,Monaco,fr Ligue 1,28,0.5519,https://img.a.transfermarkt.technology/portrait/header/263918-1614091807.jpg?lm=1,18000000.0,€18M
MF,12,Martin Ødegaard,no NOR,Arsenal,eng Premier League,25,0.549,https://img.a.transfermarkt.technology/portrait/header/316264-1678877651.jpg?lm=1,65000000.0,€65M
MF,13,Lazar Samardzic,rs SRB,Atalanta,it Serie A,22,0.5485,https://img.a.transfermarkt.technology/portrait/header/528833-1757605226.jpg?lm=1,16000000.0,€16M
MF,14,Kevin Stöger,at AUT,Gladbach,de Bundesliga,30,0.547,https://img.a.transfermarkt.technology/portrait/header/106872-1722945684.jpg?lm=1,1800000.0,€1.8M
